NOME,POPULACAO
ABAIARA, 11.737
ACARAPE, 14.929
ACARAU, 62.641
ACOPIARA, 54.270
AIUABA, 17.399
ALCANTARAS, 11.714
ALTANEIRA, 7.586
ALTO SANTO, 17.146
AMONTADA, 43.452
ANTONINA DO NORTE, 7.353
APUIARES, 14.600
AQUIRAZ, 80.271
ARACATI, 74.547
ARACOIABA, 26.469
ARARENDA, 10.935
ARARIPE, 21.600
ARATUBA, 11.847
ARNEIROZ, 7.840
ASSARE, 23.417
AURORA, 24.654
BAIXIO, 6.288
BANABUIU, 18.197
BARBALHA, 59.732
BARREIRA, 22.425
BARRO, 22.680
BARROQUINHA, 15.017
BATURITE, 35.750
BEBERIBE, 53.573
BELA CRUZ, 32.591
BOA VIAGEM, 54.470
BREJO SANTO, 49.477
CAMOCIM, 63.661
CAMPOS SALES, 27.426
CANINDE, 76.997
CAPISTRANO, 17.738
CARIDADE, 22.547
CARIRE, 18.448
CARIRIACU, 26.965
CARIUS, 18.699
CARNAUBAL, 17.606
CASCAVEL, 71.743
CATARINA, 20.698
CATUNDA, 10.342
CAUCAIA, 361.400
CEDRO, 25.557
CHAVAL, 13.069
CHORO, 13.521
CHOROZINHO, 20.264
COREAU, 23.136
CRATEUS, 75.074
CRATO, 132.123
CROATA, 18.063
CRUZ, 24.827
DEPUTADO IRAPUAN PINHEIRO, 9.625
ERERE, 7.198
EUSEBIO, 53.618
FARIAS BRITO, 19.450
FORQUILHA, 24.218
FORTALEZA, 2.669.342
FORTIM, 16.480
FRECHEIRINHA, 14.072
GENERAL SAMPAIO, 7.618
GRACA, 14.399
GRANJA, 54.748
GRANJEIRO, 4.844
GROAIRAS, 11.068
GUAIUBA, 26.064
GUARACIABA DO NORTE, 40.642
GUARAMIRANGA, 5.193
HIDROLANDIA, 19.978
HORIZONTE, 67.337
IBARETAMA, 13.353
IBIAPINA, 24.997
IBICUITINGA, 12.525
ICAPUI, 19.934
ICO, 68.018
IGUATU, 102.498
INDEPENDENCIA, 26.178
IPAPORANGA, 11.593
IPAUMIRIM, 12.463
IPU, 41.964
IPUEIRAS, 38.166
IRACEMA, 14.297
IRAUCUBA, 24.156
ITAICABA, 7.827
ITAITINGA, 37.980
ITAPAJE, 52.675
ITAPIPOCA, 129.358
ITAPIUNA, 20.382
ITAREMA, 41.826
ITATIRA, 21.647
JAGUARETAMA, 18.162
JAGUARIBARA, 11.401
JAGUARIBE, 34.682
JAGUARUANA, 33.705
JARDIM, 27.174
JATI, 8.111
JIJOCA DE JERICOACOARA, 19.816
JUAZEIRO DO NORTE, 274.207
JUCAS, 24.833
LAVRAS DA MANGABEIRA, 31.508
LIMOEIRO DO NORTE, 59.540
MADALENA, 19.691
MARACANAU, 227.886
MARANGUAPE, 128.978
MARCO, 27.361
MARTINOPOLE, 11.233
MASSAPE, 38.737
MAURITI, 47.962
MERUOCA, 15.057
MILAGRES, 27.512
MILHA, 13.155
MIRAIMA, 13.818
MISSAO VELHA, 36.442
MOMBACA, 43.797
MONSENHOR TABOSA, 17.234
MORADA NOVA, 61.890
MORAUJO, 8.724
MORRINHOS, 22.534
MUCAMBO, 14.537
MULUNGU, 10.823
NOVA OLINDA, 15.565
NOVA RUSSAS, 32.328
NOVO ORIENTE, 28.607
OCARA, 25.703
OROS, 21.427
PACAJUS, 72.203
PACATUBA, 83.432
PACOTI, 12.261
PACUJA, 6.533
PALHANO, 9.386
PALMACIA, 13.322
PARACURU, 35.076
PARAIPABA, 32.744
PARAMBU, 31.521
PARAMOTI, 12.226
PEDRA BRANCA, 43.258
PENAFORTE, 9.077
PENTECOSTE, 37.751
PEREIRO, 16.307
PINDORETAMA, 20.567
PIQUET CARNEIRO, 16.959
PIRES FERREIRA, 10.951
PORANGA, 12.336
PORTEIRAS, 14.996
POTENGI, 11.045
POTIRETAMA, 6.419
QUITERIANOPOLIS, 21.084
QUIXADA, 87.728
QUIXELO, 16.178
QUIXERAMOBIM, 81.082
QUIXERE, 22.149
REDENCAO, 29.053
RERIUTABA, 18.491
RUSSAS, 78.194
SABOEIRO, 15.819
SALITRE, 16.554
SANTANA DO ACARAU, 32.452
SANTANA DO CARIRI, 17.700
SANTA QUITERIA, 43.703
SAO BENEDITO, 47.903
SAO GONCALO DO AMARANTE, 48.422
SAO JOAO DO JAGUARIBE, 7.645
SAO LUIS DO CURU, 13.000
SENADOR POMPEU, 25.496
SENADOR SA, 7.623
SOBRAL, 208.935
SOLONOPOLE, 18.324
TABULEIRO DO NORTE, 30.697
TAMBORIL, 26.251
TARRAFAS, 8.592
TAUA, 58.859
TEJUCUOCA, 19.187
TIANGUA, 75.946
TRAIRI, 55.918
TURURU, 16.271
UBAJARA, 34.792
UMARI, 7.733
UMIRIM, 19.825
URUBURETAMA, 21.850
URUOCA, 13.840
VARJOTA, 18.420
VARZEA ALEGRE, 40.721
VICOSA DO CEARA, 60.889